;Compre Aqui;Sorriso;Sol;Carrinho Cheio;Registro
arroz 5 Kg;9,43;7,15;17,47;27,99;15,89
feijão 1 Kg;9,49;4,79;9,20;1,15;3,68
milho 500 g;5,25;6,52;1,62;2,20;4,38
amendoim 500 g;1,81;0,54;0,64;0,19;0,06
grão de bico 500 g;2,81;3,17;2,33;1,72;3,64
água mineral 1,5 l;1,29;4,13;2,28;2,07;3,37
refrigerante 1,5 l;4,23;4,68;5,96;5,19;0,68
refrigerante 350 ml;2,04;5,39;6,98;6,26;4,43
cerveja 350 ml;2,35;7,39;6,55;5,79;6,79
suco integral 1 l;8,32;5,18;3,92;2,71;0,46
creme dental 1 unid;8,34;7,71;9,89;6,73;3,68
sabonete 1 pcte;7,14;0,69;7,48;4,65;1,87
shampoo 350 ml;15,06;16,66;10,07;0,31;14,37
absorvente 1 pcte;2,25;5,87;5,43;5,48;5,12
fralda M 1 pcte;7,25;12,98;0,21;1,22;3,18
sabão em pó 1 Kg;19,48;16,31;3,10;6,96;7,19
sabão em barra 100 g;10,31;6,14;13,79;12,04;4,45
detergente 500 ml;8,07;8,25;7,74;3,99;7,49
desinfetante 1 l;7,15;0,23;5,86;1,28;1,88
água sanitária 1 l;9,28;7,01;2,03;8,20;9,48
leite 1 l;4,48;7,17;4,34;3,97;8,07
pão integral 1 pcte;0,26;1,69;3,49;18,61;6,42
queijo mussarela 500 g;17,44;6,95;23,66;13,70;5,08
café em pó 1 Kg;4,29;7,15;4,12;4,15;3,55
chocolate em pó 500 g;9,33;3,31;19,23;1,76;4,92
